Invalid,          INVALID
Const,            const
Constexpr,		  constexpr
External_Linkage, extern
Global,           global
Inline,           inline
Internal_Linkage, internal
Local_Persist,    local_persist
Mutable,          mutable
NeverInline,      never_inline
Ptr,              *
Register,         register
Static,           static
Thread_Local,     thread_local
Volatile,         volatile
